sim_y_ystar,prob_pos_xy,prob_hardneg_xystar,pred_pos,pred_hardneg,hardneg_fooled,tier_x,tier_y,tier_ystar,sub_x,sub_y,sub_ystar,url_x,url_y,url_ystar,text_x,text_y_TRUE,text_ystar_HARDNEG
0.752174,1.000000,0.001205,1,0,0,3,15,1,14b,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/data-management/configure-source-connectors,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"Documentation Journey Optimizer Journey Optimizer Tutorials Configure source connectorsConfigure source connectors Configure source connectorsLearn about source connectors and how to configure them in Journey Optimizer. https://video.tv.adobe.com/v/335919?quality=12&learn=on Transcript In this video, we’ll give you a quick overview of source connectors in Adobe Journey Optimizer. Ingesting your customer data into Journey Optimizer is a critical step in building the real-time customer profile that informs and empowers the personalized experiences that you’ll orchestrate for your customers in Journey Optimizer. And source connectors, give you a set of pre-built tools for ingesting data from a wide variety of different systems of origin. From the Journey Optimizer home screen, you’ll see sources in the left navigation. Clicking on sources will take you to the source catalog screen, where you can see all of the source connectors that are currently available.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.021973,1,0,0,3,15,1,14a,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/data-management/create-schema,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"You can preview the field group by clicking the icon. I see this group is oriented to B2B use cases, so it’s not what I want. Demographic details looks more promising. I also need Last Name in my schema too, and I can check both boxes to add them in one shot. If I decide later that I actually need more of those fields, I can select Manage Related Fields to open that view back up and check or uncheck more of those fields.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.000007,1,0,0,3,15,1,14a,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/data-management/create-schema,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"And then I just hit enter to add it. You need to put it in a field group, which you can also do in this workflow. Now my new field appears and it will be namespaced under my tenant ID, Tech Marketing Demos, so it’s really clear that this is a custom field. You can also add custom fields within more logical locations. For example, if I want a field for Secret Agent Code Name, I can add that field directly in the Name object.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.012817,1,0,0,3,15,1,14b,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/data-management/configure-source-connectors,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"Know that there are source connectors for Adobe applications, CRM solutions, cloud storage providers, and more. Source connectors are categorized based on their source type. The list of available source connectors is constantly growing and evolving as new sources are added to the catalog. You can find an available source either by browsing through the categories below or using the search bar. By default, you’ll see the full catalog of available source connectors, but you have the option to switch the view to show only the sources you’ve set up in your environment.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.976562,1,1,1,4,15,1,8c,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/profiles-audiences-subscriptions/subscriptions-and-landing-pages,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"Okay, here we go. I’ve received the email. Let me show you and let me click on the link. And here’s my unsubscription page and the confirmation page as well. One last thing I would like to show you.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.000000,1,0,0,4,15,1,8b,22,2a,https://experienceleague.adobe.com/en/docs/platform-learn/tutorials/audiences/audience-builder/evaluate-audiences-on-demand,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,The ability to evaluate audiences on demand is for these urgent use cases. Let’s imagine I work for a sports franchise. There’s a big game tomorrow that was just cancelled due to weather. I want to notify all of the ticket holders as soon as possible. First I can create a batch audience called Bought Tickets to the Big Game.,"Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.000055,1,0,0,4,15,1,8c,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/profiles-audiences-subscriptions/subscriptions-and-landing-pages,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"First, there is a confirmation action. This happens if the form is submitted successfully. We can select to either redirect the user to another page. For example, a homepage. Display a confirmation text or redirect to a sub page.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.000357,1,0,0,5,15,1,10d,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/content-management/content-templates/create-content-templates,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"In this case, let’s look for profile attribute that we want to add. So, for example, the first name, we can also build conditional content. So, if I access this here, we can see the variants here. So, we have a default variant with given image, another one with a different image. So we can set conditions against each of those experience.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.878906,1,1,1,5,15,1,10f,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/content-management/ai-assistant/create-content-using-ai-assistant-for-content-generation,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"Now our results have come back and I have several to choose from. I’m going to select the one that I like best and save it to my repository so I can then use the image within my email. I could use this image and the resulting content so far as is, but in my use case here, I instead want to use pre-approved brand assets exclusively. Now it’s worth noting that I could actually use the email that I’ve designed up to this point and send a proof back to my design team so that they have something to work from. But in the interest of the demo, let’s assume that I’ve already done that and I’ve gotten back a document with pre-approved messaging and content compliant to this marketing campaign.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
0.752174,1.000000,0.250000,1,0,0,5,15,1,10g,22,2a,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/content-management/create-an-email-using-genstudio,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/live-sessions-and-deep-dives/experience-league-live-show-recordings,https://experienceleague.adobe.com/en/docs/journey-optimizer-learn/tutorials/introduction-to-journey-optimizer/key-capabilities-and-user-interface,"Documentation Journey Optimizer Journey Optimizer Tutorials Create an email using GenStudio for Performance MarketingCreate an email using GenStudio for Performance Marketing Create an email using GenStudio for Performance MarketingAVAILABILITY The GenStudio integration in Adobe Journey Optimizer is currently unavailable for use with the or add-on offerings. Healthcare Shield Privacy and Security Shield This feature is available for the email channel only. Discover the process of exporting an email template from Journey Optimizer to GenStudio for Performance Marketing, crafting brand-compliant emails using the template in GenStudio, and importing them seamlessly back into Journey Optimizer. https://video.tv.adobe.com/v/3456038/?learn=on&enablevpops Transcript Hello, my name is Chris, and today I would like to walk you through the native integrations between Adobe Gen Studio for Performance Marketing and Adobe Journey Optimizer. In today’s markets, it’s often a challenge for teams to scale the generation of enterprise-grade, on-brand content quickly for activation across all digital channels. With Adobe Gen Studio for Performance Marketing, design teams can quickly generate and review high-performing, on-brand content, and then create variations tailored to different personas, locales, and marketing needs.","Watch Unveiling Content Cards for Adobe Journey Optimizer (November 6, 2024) Learn how Content Cards deliver key updates, promotions, and messages seamlessly within your app or website, ensuring a non-intrusive user experience. Watch Harmonize Audiences in Experience Ecosystems - Federated Audience Composition in Experience Platform (October 24, 2024) Learn about Federated Audience Composition provides a comprehensive approach to audience curation and activation with Real-Time CDP and Journey Optimizer. Watch AI Bash - Unlocking the Power of AI Assistant in Adobe Experience Platform Applications and Campaign (September 26, 2024) AI-driven tools are transforming the way we engage customers and streamline workflows. Learn how Adobe's AI capabilities will accelerate your productivity. Watch Summer Spotlight - Three must try features in Adobe Journey Optimizer Supercharge your customer engagement this summer with Adobe Journey Optimizer's three features - journey experimentation, frequency capping, and multi-lingual messaging Watch API Triggered Messaging in Adobe Journey Optimizer Learn how to use REST APIs for contextual, personalized and real time transactional and marketing communications.","We also include Adobe Experience Manager Assets Essentials, which is a lightweight digital asset manager fully embedded into Journey Optimizer to provide a simplified and consistent user interface that enables users to access, store, discover, and deliver digital assets directly to their marketing channels. And that includes instant access to shared assets within Adobe Creative Cloud and Adobe Experience Cloud apps. Journey Optimizer also includes Decision Management, which allows you to create and manage offers, eligibility rules, and other associated objects in a centralized library of offers that can be embedded in emails and other customer touchpoints to deliver targeted, personalized content. You also have Adobe Experience Platform AI and Machine Learning services, which allow you to do send time optimization to send the right message at the right time when your customer is most likely to engage, as well as take advantage of predictive engagement scores through machine learning models that can help you target your high-value customers and minimize churn risk. And all of this is built with the focus on speed, scale, and time to value."
