06:25:46 INFO run_dir=/mnt/localssd/baseline_sweep/runs/ajo_newstyle/deberta-v3-large
06:25:46 INFO device=cuda:0  bf16=False  physical_gpu=0  CUDA_VISIBLE_DEVICES=0
06:25:46 INFO dataset=ajo_newstyle  model=deberta-v3-large  backbone=microsoft/deberta-v3-large
06:25:46 INFO tokenizer <- microsoft/deberta-v3-large
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
06:25:47 INFO split files: ['train.jsonl', 'val.jsonl', 'test.jsonl']
06:25:47 INFO scanning max token length across all splits ...
06:26:12 INFO   observed_max=21511 -> max_seq_len=512 (cap=512, scan=24.7s)
06:26:12 INFO loading datasets ...
06:26:12 INFO   schema=newstyle  train=20897  val=2612  test=2613
06:26:12 INFO building DirectionalClassifier  backbone=microsoft/deberta-v3-large  head=MLP(4d->512->128->1, act=gelu, norm=layer, dropout=0.1)  n_tiers=0
Loading weights:   0%|          | 0/390 [00:00<?, ?it/s]Loading weights: 100%|██████████| 390/390 [00:00<00:00, 32317.42it/s]
[transformers] [1mDebertaV2Model LOAD REPORT[0m from: microsoft/deberta-v3-large
Key                                     | Status     |  | 
----------------------------------------+------------+--+-
lm_predictions.lm_head.LayerNorm.weight | UNEXPECTED |  | 
lm_predictions.lm_head.bias             | UNEXPECTED |  | 
mask_predictions.LayerNorm.bias         | UNEXPECTED |  | 
mask_predictions.classifier.bias        | UNEXPECTED |  | 
mask_predictions.dense.bias             | UNEXPECTED |  | 
mask_predictions.LayerNorm.weight       | UNEXPECTED |  | 
lm_predictions.lm_head.LayerNorm.bias   | UNEXPECTED |  | 
mask_predictions.classifier.weight      | UNEXPECTED |  | 
lm_predictions.lm_head.dense.bias       | UNEXPECTED |  | 
lm_predictions.lm_head.dense.weight     | UNEXPECTED |  | 
mask_predictions.dense.weight           | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
Loading weights:   0%|          | 0/390 [00:00<?, ?it/s]Loading weights: 100%|██████████| 390/390 [00:00<00:00, 34233.48it/s]
[transformers] [1mDebertaV2Model LOAD REPORT[0m from: microsoft/deberta-v3-large
Key                                     | Status     |  | 
----------------------------------------+------------+--+-
lm_predictions.lm_head.LayerNorm.weight | UNEXPECTED |  | 
lm_predictions.lm_head.bias             | UNEXPECTED |  | 
mask_predictions.LayerNorm.bias         | UNEXPECTED |  | 
mask_predictions.classifier.bias        | UNEXPECTED |  | 
mask_predictions.dense.bias             | UNEXPECTED |  | 
mask_predictions.LayerNorm.weight       | UNEXPECTED |  | 
lm_predictions.lm_head.LayerNorm.bias   | UNEXPECTED |  | 
mask_predictions.classifier.weight      | UNEXPECTED |  | 
lm_predictions.lm_head.dense.bias       | UNEXPECTED |  | 
lm_predictions.lm_head.dense.weight     | UNEXPECTED |  | 
mask_predictions.dense.weight           | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
06:26:17 INFO   hidden_size=1024  trainable_params=870,197,249
06:26:17 INFO   total_steps=1304  warmup_steps=78  grad_accum=8  eff_batch=64
06:27:20 INFO   e1 step    50/2613  loss=0.9159  acc=0.5025  lr0=7.69e-07 lr1=7.69e-05
06:28:24 INFO   e1 step   100/2613  loss=0.8777  acc=0.5025  lr0=1.54e-06 lr1=1.54e-04
06:29:28 INFO   e1 step   150/2613  loss=0.8561  acc=0.4958  lr0=2.31e-06 lr1=2.31e-04
06:30:31 INFO   e1 step   200/2613  loss=0.8469  acc=0.4900  lr0=3.21e-06 lr1=3.21e-04
06:31:31 INFO   e1 step   250/2613  loss=0.8405  acc=0.4875  lr0=3.97e-06 lr1=3.97e-04
06:32:35 INFO   e1 step   300/2613  loss=0.8251  acc=0.4850  lr0=4.74e-06 lr1=4.74e-04
06:33:37 INFO   e1 step   350/2613  loss=0.8079  acc=0.4893  lr0=5.51e-06 lr1=5.51e-04
06:34:38 INFO   e1 step   400/2613  loss=0.7975  acc=0.4884  lr0=6.41e-06 lr1=6.41e-04
06:35:37 INFO   e1 step   450/2613  loss=0.7885  acc=0.4864  lr0=7.18e-06 lr1=7.18e-04
06:36:38 INFO   e1 step   500/2613  loss=0.7786  acc=0.4910  lr0=7.95e-06 lr1=7.95e-04
06:37:37 INFO   e1 step   550/2613  loss=0.7737  acc=0.4927  lr0=8.72e-06 lr1=8.72e-04
06:38:37 INFO   e1 step   600/2613  loss=0.7689  acc=0.4956  lr0=9.62e-06 lr1=9.62e-04
06:39:40 INFO   e1 step   650/2613  loss=0.7636  acc=0.4952  lr0=9.98e-06 lr1=9.98e-04
06:40:42 INFO   e1 step   700/2613  loss=0.7587  acc=0.4991  lr0=9.93e-06 lr1=9.93e-04
06:41:38 INFO   e1 step   750/2613  loss=0.7551  acc=0.5002  lr0=9.88e-06 lr1=9.88e-04
06:42:40 INFO   e1 step   800/2613  loss=0.7516  acc=0.4998  lr0=9.82e-06 lr1=9.82e-04
06:43:39 INFO   e1 step   850/2613  loss=0.7484  acc=0.5001  lr0=9.77e-06 lr1=9.77e-04
06:44:38 INFO   e1 step   900/2613  loss=0.7449  acc=0.5035  lr0=9.72e-06 lr1=9.72e-04
06:45:36 INFO   e1 step   950/2613  loss=0.7429  acc=0.5036  lr0=9.67e-06 lr1=9.67e-04
06:46:34 INFO   e1 step  1000/2613  loss=0.7400  acc=0.5059  lr0=9.62e-06 lr1=9.62e-04
06:47:34 INFO   e1 step  1050/2613  loss=0.7368  acc=0.5087  lr0=9.57e-06 lr1=9.57e-04
06:48:36 INFO   e1 step  1100/2613  loss=0.7340  acc=0.5112  lr0=9.52e-06 lr1=9.52e-04
06:49:34 INFO   e1 step  1150/2613  loss=0.7322  acc=0.5128  lr0=9.47e-06 lr1=9.47e-04
06:50:36 INFO   e1 step  1200/2613  loss=0.7287  acc=0.5159  lr0=9.41e-06 lr1=9.41e-04
06:51:35 INFO   e1 step  1250/2613  loss=0.7271  acc=0.5187  lr0=9.36e-06 lr1=9.36e-04
06:52:35 INFO   e1 step  1300/2613  loss=0.7249  acc=0.5212  lr0=9.31e-06 lr1=9.31e-04
06:53:36 INFO   e1 step  1350/2613  loss=0.7228  acc=0.5225  lr0=9.27e-06 lr1=9.27e-04
