06:25:47 INFO run_dir=/mnt/localssd/baseline_sweep/runs/new_ajo_workflows/deberta-v3-large
06:25:47 INFO device=cuda:0  bf16=False  physical_gpu=3  CUDA_VISIBLE_DEVICES=3
06:25:47 INFO dataset=new_ajo_workflows  model=deberta-v3-large  backbone=microsoft/deberta-v3-large
06:25:47 INFO tokenizer <- microsoft/deberta-v3-large
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
06:25:48 INFO split files: ['directional_train.jsonl', 'directional_val.jsonl', 'directional_test.jsonl']
06:25:48 INFO scanning max token length across all splits ...
06:25:53 INFO   observed_max=323 -> max_seq_len=342 (cap=512, scan=4.4s)
06:25:53 INFO loading datasets ...
06:25:53 INFO   schema=standard  train=21846  val=2470  test=2616
06:25:53 INFO building DirectionalClassifier  backbone=microsoft/deberta-v3-large  head=MLP(4d->512->128->1, act=gelu, norm=layer, dropout=0.1)  n_tiers=0
Loading weights:   0%|          | 0/390 [00:00<?, ?it/s]Loading weights: 100%|██████████| 390/390 [00:00<00:00, 29088.26it/s]
[transformers] [1mDebertaV2Model LOAD REPORT[0m from: microsoft/deberta-v3-large
Key                                     | Status     |  | 
----------------------------------------+------------+--+-
mask_predictions.dense.weight           | UNEXPECTED |  | 
lm_predictions.lm_head.LayerNorm.weight | UNEXPECTED |  | 
mask_predictions.dense.bias             | UNEXPECTED |  | 
lm_predictions.lm_head.dense.bias       | UNEXPECTED |  | 
mask_predictions.classifier.weight      | UNEXPECTED |  | 
lm_predictions.lm_head.LayerNorm.bias   | UNEXPECTED |  | 
mask_predictions.LayerNorm.weight       | UNEXPECTED |  | 
mask_predictions.classifier.bias        | UNEXPECTED |  | 
lm_predictions.lm_head.dense.weight     | UNEXPECTED |  | 
mask_predictions.LayerNorm.bias         | UNEXPECTED |  | 
lm_predictions.lm_head.bias             | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
Loading weights:   0%|          | 0/390 [00:00<?, ?it/s]Loading weights: 100%|██████████| 390/390 [00:00<00:00, 26679.15it/s]
[transformers] [1mDebertaV2Model LOAD REPORT[0m from: microsoft/deberta-v3-large
Key                                     | Status     |  | 
----------------------------------------+------------+--+-
mask_predictions.dense.weight           | UNEXPECTED |  | 
lm_predictions.lm_head.LayerNorm.weight | UNEXPECTED |  | 
mask_predictions.dense.bias             | UNEXPECTED |  | 
lm_predictions.lm_head.dense.bias       | UNEXPECTED |  | 
mask_predictions.classifier.weight      | UNEXPECTED |  | 
lm_predictions.lm_head.LayerNorm.bias   | UNEXPECTED |  | 
mask_predictions.LayerNorm.weight       | UNEXPECTED |  | 
mask_predictions.classifier.bias        | UNEXPECTED |  | 
lm_predictions.lm_head.dense.weight     | UNEXPECTED |  | 
mask_predictions.LayerNorm.bias         | UNEXPECTED |  | 
lm_predictions.lm_head.bias             | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
06:25:58 INFO   hidden_size=1024  trainable_params=870,197,249
06:25:58 INFO   total_steps=1364  warmup_steps=81  grad_accum=8  eff_batch=64
06:26:14 INFO   e1 step    50/2731  loss=0.8221  acc=0.5075  lr0=7.41e-07 lr1=7.41e-05
06:26:26 INFO   e1 step   100/2731  loss=0.7977  acc=0.5000  lr0=1.48e-06 lr1=1.48e-04
06:26:40 INFO   e1 step   150/2731  loss=0.7807  acc=0.5175  lr0=2.22e-06 lr1=2.22e-04
06:26:53 INFO   e1 step   200/2731  loss=0.7767  acc=0.5112  lr0=3.09e-06 lr1=3.09e-04
06:27:06 INFO   e1 step   250/2731  loss=0.7672  acc=0.5135  lr0=3.83e-06 lr1=3.83e-04
06:27:20 INFO   e1 step   300/2731  loss=0.7684  acc=0.4996  lr0=4.57e-06 lr1=4.57e-04
06:27:32 INFO   e1 step   350/2731  loss=0.7665  acc=0.4954  lr0=5.31e-06 lr1=5.31e-04
06:27:45 INFO   e1 step   400/2731  loss=0.7641  acc=0.4984  lr0=6.17e-06 lr1=6.17e-04
06:27:58 INFO   e1 step   450/2731  loss=0.7584  acc=0.5008  lr0=6.91e-06 lr1=6.91e-04
06:28:10 INFO   e1 step   500/2731  loss=0.7540  acc=0.4988  lr0=7.65e-06 lr1=7.65e-04
06:28:23 INFO   e1 step   550/2731  loss=0.7499  acc=0.4982  lr0=8.40e-06 lr1=8.40e-04
06:28:35 INFO   e1 step   600/2731  loss=0.7459  acc=0.4994  lr0=9.26e-06 lr1=9.26e-04
06:28:49 INFO   e1 step   650/2731  loss=0.7420  acc=0.5012  lr0=1.00e-05 lr1=1.00e-03
06:29:01 INFO   e1 step   700/2731  loss=0.7386  acc=0.5011  lr0=9.95e-06 lr1=9.95e-04
06:29:14 INFO   e1 step   750/2731  loss=0.7367  acc=0.4990  lr0=9.91e-06 lr1=9.91e-04
06:29:27 INFO   e1 step   800/2731  loss=0.7354  acc=0.4995  lr0=9.85e-06 lr1=9.85e-04
06:29:40 INFO   e1 step   850/2731  loss=0.7333  acc=0.4976  lr0=9.81e-06 lr1=9.81e-04
06:29:53 INFO   e1 step   900/2731  loss=0.7314  acc=0.4976  lr0=9.76e-06 lr1=9.76e-04
06:30:06 INFO   e1 step   950/2731  loss=0.7295  acc=0.4974  lr0=9.71e-06 lr1=9.71e-04
06:30:19 INFO   e1 step  1000/2731  loss=0.7279  acc=0.4971  lr0=9.66e-06 lr1=9.66e-04
06:30:32 INFO   e1 step  1050/2731  loss=0.7265  acc=0.4954  lr0=9.61e-06 lr1=9.61e-04
06:30:45 INFO   e1 step  1100/2731  loss=0.7262  acc=0.4930  lr0=9.56e-06 lr1=9.56e-04
06:30:58 INFO   e1 step  1150/2731  loss=0.7246  acc=0.4945  lr0=9.52e-06 lr1=9.52e-04
06:31:11 INFO   e1 step  1200/2731  loss=0.7236  acc=0.4945  lr0=9.46e-06 lr1=9.46e-04
06:31:24 INFO   e1 step  1250/2731  loss=0.7224  acc=0.4953  lr0=9.42e-06 lr1=9.42e-04
06:31:37 INFO   e1 step  1300/2731  loss=0.7212  acc=0.4968  lr0=9.37e-06 lr1=9.37e-04
06:31:50 INFO   e1 step  1350/2731  loss=0.7202  acc=0.4968  lr0=9.32e-06 lr1=9.32e-04
