category,model,method,prompt,shots,seeds,f1,f1_std,acc,auc,f1_before,f1_not_before,f1_aep,f1_ajo,f1_procedural,unparsed_rate,notes
Encoder,deberta-v3-large,CrossEncoder2x,-,-,-,0.7871,,0.7834,0.8813,0.7871,0.7796,0.8742,0.6060,0.7879,,"DeBERTa CrossEncoder2x fine-tuned, our encoder baseline"
ICL,Phi-3.5-mini-instruct,ICL zero-shot,P,0,-,0.6616,,0.5230,,0.6616,0.1920,0.6500,0.5989,0.6835,0.0000,
ICL,Phi-3.5-mini-instruct,ICL zero-shot,QA1,0,-,0.5468,,0.5643,,0.5468,0.5804,0.3264,0.3379,0.6710,0.0000,
ICL,Phi-3.5-mini-instruct,ICL zero-shot,QA2,0,-,0.4412,,0.5632,,0.4412,0.6415,0.0990,0.1957,0.6123,0.0004,
ICL,Qwen2.5-14B-Instruct,ICL zero-shot,P,0,-,0.5743,,0.6276,,0.5743,0.6690,0.2244,0.2357,0.7713,0.0000,
ICL,Qwen2.5-14B-Instruct,ICL zero-shot,QA1,0,-,0.5686,,0.6353,,0.5686,0.6841,0.2236,0.2244,0.7709,0.0000,
ICL,Qwen2.5-14B-Instruct,ICL zero-shot,QA2,0,-,0.7017,,0.6211,,0.7017,0.4810,0.6570,0.5694,0.7668,0.0000,
ICL,Qwen2.5-7B-Instruct,ICL zero-shot,P,0,-,0.6477,,0.5786,,0.6477,0.4758,0.5422,0.5113,0.7270,0.0000,
ICL,Qwen2.5-7B-Instruct,ICL zero-shot,QA1,0,-,0.6391,,0.6163,,0.6391,0.5905,0.4775,0.5228,0.7502,0.0000,
ICL,Qwen2.5-7B-Instruct,ICL zero-shot,QA2,0,-,0.6985,,0.5749,,0.6985,0.2796,0.6700,0.6581,0.7292,0.0000,
ICL,Phi-3.5-mini-instruct,ICL few-shot,P,2,"[0, 1, 2, 3, 4]",0.6251,0.0484,0.5480,,,,,,,,"mean over seeds [0, 1, 2, 3, 4]"
ICL,Phi-3.5-mini-instruct,ICL few-shot,QA1,2,"[0, 1, 2, 3, 4]",0.6082,0.0516,0.5732,,,,,,,,"mean over seeds [0, 1, 2, 3, 4]"
ICL,Phi-3.5-mini-instruct,ICL few-shot,QA2,2,"[0, 1, 2, 3, 4]",0.6654,0.0149,0.5624,,,,,,,,"mean over seeds [0, 1, 2, 3, 4]"
ICL,Qwen2.5-14B-Instruct,ICL few-shot,P,2,"[0, 1, 2, 3, 4]",0.6038,0.0141,0.6282,,,,,,,,"mean over seeds [0, 1, 2, 3, 4]"
ICL,Qwen2.5-14B-Instruct,ICL few-shot,QA1,2,"[0, 1, 2, 3, 4]",0.6497,0.0269,0.6566,,,,,,,,"mean over seeds [0, 1, 2, 3, 4]"
ICL,Qwen2.5-14B-Instruct,ICL few-shot,QA2,2,"[0, 1, 2, 3, 4]",0.6966,0.0136,0.6390,,,,,,,,"mean over seeds [0, 1, 2, 3, 4]"
