model,method,setting,micro_f1,micro_std,macro_f1,src_procedural,src_aep,src_ajo
deberta-v3-large_crossencoder2x,encoder,-,0.7833784628202458,0.0,0.7833137002276469,0.7854299363057324,0.872093023255814,0.5910931174089069
microsoft/Phi-3.5-mini-instruct,ICL,P k2,0.5479691730889398,0.017872393488412474,,,,
microsoft/Phi-3.5-mini-instruct,ICL,QA1 k2,0.5731722557800458,0.010693533282776396,,,,
microsoft/Phi-3.5-mini-instruct,ICL,QA2 k2,0.5623828369089773,0.010343435965786426,,,,
Qwen/Qwen2.5-14B-Instruct,ICL,P k2,0.6282441158092065,0.00560977051409849,,,,
Qwen/Qwen2.5-14B-Instruct,ICL,QA1 k2,0.6566132055821704,0.006793701356182847,,,,
Qwen/Qwen2.5-14B-Instruct,ICL,QA2 k2,0.6389502187044366,0.006073500343630942,,,,
Qwen/Qwen2.5-7B-Instruct,ICL,P k2,0.5833368048323266,0.011681036492726867,,,,
Qwen/Qwen2.5-7B-Instruct,ICL,QA1 k2,0.6286190377004791,0.008955014099090637,,,,
Qwen/Qwen2.5-7B-Instruct,ICL,QA2 k2,0.6314517808789836,0.004725198563115775,,,,
microsoft/Phi-3.5-mini-instruct,ICL,P k0,0.5230160383253489,0.0,0.4267989300806986,0.5258757961783439,0.5297157622739018,0.4993252361673414
microsoft/Phi-3.5-mini-instruct,ICL,QA1 k0,0.5642574463653406,0.0,0.5636094756826915,0.615843949044586,0.5200258397932817,0.4817813765182186
microsoft/Phi-3.5-mini-instruct,ICL,QA2 k0,0.563215996667361,0.0,0.5413620889918258,0.6273885350318471,0.4941860465116279,0.4898785425101215
Qwen/Qwen2.5-14B-Instruct,ICL,P k0,0.6275775880024995,0.0,0.6216485957581848,0.7563694267515924,0.5,0.4574898785425101
Qwen/Qwen2.5-14B-Instruct,ICL,QA1 k0,0.6352843157675484,0.0,0.6263595192985371,0.76671974522293,0.501937984496124,0.4682860998650472
Qwen/Qwen2.5-14B-Instruct,ICL,QA2 k0,0.621120599875026,0.0,0.5913418282698841,0.705812101910828,0.5426356589147286,0.4979757085020243
Qwen/Qwen2.5-7B-Instruct,ICL,P k0,0.5786294521974589,0.0,0.5617580030391336,0.6297770700636943,0.5310077519379846,0.50472334682861
Qwen/Qwen2.5-7B-Instruct,ICL,QA1 k0,0.6163299312643199,0.0,0.6147956214604611,0.7125796178343949,0.5264857881136951,0.4777327935222672
Qwen/Qwen2.5-7B-Instruct,ICL,QA2 k0,0.5748802332847324,0.0,0.48902032933197614,0.6253980891719745,0.5297157622739018,0.4979757085020243
Qwen/Qwen2.5-7B-Instruct,LoRA,QA1 ft,0.838367006873568,0.0,0.8382896581802626,0.8499203821656051,0.8798449612403101,0.7125506072874493
