dataset,model,bi_test_acc,ce_test_acc,delta_acc_ce_minus_bi,bi_test_auc,ce_test_auc,bi_test_f1,ce_test_f1
aep_causal_cls34,deberta-v3-large,0.619254,0.881579,0.262325,0.667689,0.942659,0.593528,0.879102
aep_causal_cls34,all-mpnet-base-v2,0.887742,0.871919,-0.015823,0.945969,0.912941,0.879514,0.867937
aep_causal_cls34,all-MiniLM-L6-v2,0.874417,0.787642,-0.086775,0.919706,0.847928,0.872160,0.789152
aep_causal_cls34,e5-large-v2,0.872751,0.488841,-0.383910,0.910092,0.500000,0.867084,0.656673
aep_causal_cls34,bge-base-en-v1.5,0.860926,0.814457,-0.046469,0.906406,0.864554,0.856505,0.808196
aep_causal_cls34,bge-large-en-v1.5,0.877415,0.828614,-0.048801,0.915405,0.867444,0.873800,0.828586
aep_dataset,deberta-v3-large,0.883452,0.939007,0.055555,0.939161,0.980770,0.884678,0.940621
aep_dataset,all-mpnet-base-v2,0.932861,0.925059,-0.007802,0.965354,0.962483,0.934198,0.926739
aep_dataset,all-MiniLM-L6-v2,0.912057,0.869031,-0.043026,0.953685,0.938124,0.914088,0.871432
aep_dataset,e5-large-v2,0.929314,0.510638,-0.418676,0.944526,0.500000,0.930771,0.676056
aep_dataset,bge-base-en-v1.5,0.922813,0.896336,-0.026477,0.953048,0.939639,0.924709,0.899668
aep_dataset,bge-large-en-v1.5,0.927541,0.912648,-0.014893,0.950042,0.943187,0.928480,0.913839
aep_causal_wf_v3,deberta-v3-large,0.751572,0.773585,0.022013,0.809380,0.871383,0.740984,0.761589
aep_causal_wf_v3,all-mpnet-base-v2,0.776730,0.669811,-0.106919,0.855306,0.746721,0.765677,0.639175
aep_causal_wf_v3,all-MiniLM-L6-v2,0.729560,0.644654,-0.084906,0.808863,0.671324,0.718954,0.624585
aep_causal_wf_v3,e5-large-v2,0.729560,0.465409,-0.264151,0.812440,0.500000,0.724359,0.635193
aep_causal_wf_v3,bge-base-en-v1.5,0.738994,0.632075,-0.106919,0.821920,0.717607,0.733119,0.577617
aep_causal_wf_v3,bge-large-en-v1.5,0.786164,0.679245,-0.106919,0.850815,0.722536,0.760563,0.679245
ajo_doc_not_tier1,deberta-v3-large,0.503393,0.496607,-0.006786,0.499966,0.496976,0.669676,0.000000
ajo_doc_not_tier1,all-mpnet-base-v2,0.994196,0.989286,-0.004910,0.997291,0.995339,0.994243,0.989392
ajo_doc_not_tier1,all-MiniLM-L6-v2,0.981518,0.966250,-0.015268,0.995265,0.986227,0.981690,0.966631
ajo_doc_not_tier1,e5-large-v2,0.970536,0.496607,-0.473929,0.972638,0.499141,0.970698,0.000000
ajo_doc_not_tier1,bge-base-en-v1.5,0.993304,0.969643,-0.023661,0.998387,0.989037,0.993356,0.969751
ajo_doc_not_tier1,bge-large-en-v1.5,0.991786,0.496607,-0.495179,0.996481,0.500000,0.991832,0.000000
ajo_newstyle,deberta-v3-large,0.500191,0.500191,0.000000,0.509856,0.531860,0.666837,0.666837
ajo_newstyle,all-mpnet-base-v2,0.652889,0.610027,-0.042862,0.754552,0.693555,0.657089,0.600235
ajo_newstyle,all-MiniLM-L6-v2,0.616915,0.552239,-0.064676,0.703372,0.579010,0.585850,0.500427
ajo_newstyle,e5-large-v2,0.531956,0.500191,-0.031765,0.553421,0.500000,0.400196,0.666837
ajo_newstyle,bge-base-en-v1.5,0.633372,0.551473,-0.081899,0.726406,0.610093,0.626656,0.544678
ajo_newstyle,bge-large-en-v1.5,0.641408,0.500191,-0.141217,0.734365,0.500000,0.578118,0.666837
new_aep_wf_scrap,deberta-v3-large,0.500000,0.500000,0.000000,0.568873,0.596574,0.666667,0.666667
new_aep_wf_scrap,all-mpnet-base-v2,0.683463,0.695736,0.012273,0.756464,0.772690,0.674202,0.695540
new_aep_wf_scrap,all-MiniLM-L6-v2,0.647933,0.586563,-0.061370,0.719350,0.629155,0.648160,0.584955
new_aep_wf_scrap,e5-large-v2,0.580749,0.500000,-0.080749,0.616824,0.490956,0.575540,0.000000
new_aep_wf_scrap,bge-base-en-v1.5,0.681525,0.612403,-0.069122,0.761644,0.665760,0.658351,0.632353
new_aep_wf_scrap,bge-large-en-v1.5,0.668605,0.500000,-0.168605,0.746068,0.494643,0.659136,0.000000
new_ajo_workflows,deberta-v3-large,0.500000,0.500000,0.000000,0.534263,0.484527,0.000000,0.000000
new_ajo_workflows,all-mpnet-base-v2,0.628440,0.642202,0.013762,0.683944,0.688558,0.635409,0.651267
new_ajo_workflows,all-MiniLM-L6-v2,0.597477,0.555810,-0.041667,0.646401,0.590690,0.614991,0.580505
new_ajo_workflows,e5-large-v2,0.543196,0.500000,-0.043196,0.568016,0.499235,0.582897,0.000000
new_ajo_workflows,bge-base-en-v1.5,0.627676,0.555810,-0.071866,0.681705,0.598607,0.631897,0.554789
new_ajo_workflows,bge-large-en-v1.5,0.632263,0.581804,-0.050459,0.693355,0.632627,0.625389,0.604483
