dataset,model,bi_milan_pairwise_acc,ce_milan_pairwise_acc,delta_milan_ce_minus_bi,bi_milan_order_match,ce_milan_order_match,bi_ajo_perfect_order_rate,ce_ajo_perfect_order_rate,delta_ajo_ce_minus_bi
aep_causal_cls34,deberta-v3-large,0.533333,0.300000,-0.233333,False,False,0.166667,0.133333,-0.033334
aep_causal_cls34,all-mpnet-base-v2,0.533333,0.400000,-0.133333,False,False,0.266667,0.000000,-0.266667
aep_causal_cls34,all-MiniLM-L6-v2,0.300000,0.333333,0.033333,False,False,0.133333,0.133333,0.000000
aep_causal_cls34,e5-large-v2,0.433333,0.500000,0.066667,False,True,0.166667,1.000000,0.833333
aep_causal_cls34,bge-base-en-v1.5,0.300000,0.233333,-0.066667,False,False,0.133333,0.100000,-0.033333
aep_causal_cls34,bge-large-en-v1.5,0.366667,0.600000,0.233333,False,False,0.133333,0.100000,-0.033333
aep_dataset,deberta-v3-large,0.500000,0.466667,-0.033333,False,False,0.633333,0.200000,-0.433333
aep_dataset,all-mpnet-base-v2,0.866667,0.700000,-0.166667,False,False,0.266667,0.566667,0.300000
aep_dataset,all-MiniLM-L6-v2,0.600000,0.466667,-0.133333,False,False,0.266667,0.333333,0.066666
aep_dataset,e5-large-v2,0.533333,0.500000,-0.033333,True,True,0.300000,1.000000,0.700000
aep_dataset,bge-base-en-v1.5,0.466667,0.666667,0.200000,False,False,0.400000,0.433333,0.033333
aep_dataset,bge-large-en-v1.5,0.633333,0.566667,-0.066666,False,False,0.466667,0.200000,-0.266667
aep_causal_wf_v3,deberta-v3-large,0.333333,0.533333,0.200000,False,False,0.033333,0.166667,0.133334
aep_causal_wf_v3,all-mpnet-base-v2,0.366667,0.533333,0.166666,False,False,0.000000,0.100000,0.100000
aep_causal_wf_v3,all-MiniLM-L6-v2,0.300000,0.533333,0.233333,False,False,0.033333,0.300000,0.266667
aep_causal_wf_v3,e5-large-v2,0.533333,0.500000,-0.033333,False,True,0.133333,1.000000,0.866667
aep_causal_wf_v3,bge-base-en-v1.5,0.266667,0.600000,0.333333,False,False,0.233333,0.166667,-0.066666
aep_causal_wf_v3,bge-large-en-v1.5,0.500000,0.500000,0.000000,False,False,0.066667,0.300000,0.233333
ajo_doc_not_tier1,deberta-v3-large,0.500000,0.500000,0.000000,True,True,0.966667,0.533333,-0.433334
ajo_doc_not_tier1,all-mpnet-base-v2,0.533333,0.366667,-0.166666,False,False,0.600000,0.500000,-0.100000
ajo_doc_not_tier1,all-MiniLM-L6-v2,0.300000,0.500000,0.200000,False,False,0.300000,0.400000,0.100000
ajo_doc_not_tier1,e5-large-v2,0.433333,0.500000,0.066667,False,False,0.500000,0.233333,-0.266667
ajo_doc_not_tier1,bge-base-en-v1.5,0.533333,0.466667,-0.066666,False,False,0.500000,0.500000,0.000000
ajo_doc_not_tier1,bge-large-en-v1.5,0.433333,0.500000,0.066667,False,True,0.466667,1.000000,0.533333
ajo_newstyle,deberta-v3-large,0.500000,0.500000,0.000000,True,False,0.033333,0.366667,0.333334
ajo_newstyle,all-mpnet-base-v2,0.266667,0.333333,0.066666,False,False,0.400000,0.500000,0.100000
ajo_newstyle,all-MiniLM-L6-v2,0.533333,0.433333,-0.100000,False,False,0.066667,0.233333,0.166666
ajo_newstyle,e5-large-v2,0.500000,0.500000,0.000000,False,True,0.700000,1.000000,0.300000
ajo_newstyle,bge-base-en-v1.5,0.466667,0.566667,0.100000,False,False,0.200000,0.266667,0.066667
ajo_newstyle,bge-large-en-v1.5,0.466667,0.500000,0.033333,False,True,0.266667,1.000000,0.733333
new_aep_wf_scrap,deberta-v3-large,0.500000,0.500000,0.000000,False,False,0.033333,0.500000,0.466667
new_aep_wf_scrap,all-mpnet-base-v2,0.433333,0.566667,0.133334,False,False,0.366667,0.233333,-0.133334
new_aep_wf_scrap,all-MiniLM-L6-v2,0.600000,0.566667,-0.033333,False,False,0.300000,0.333333,0.033333
new_aep_wf_scrap,e5-large-v2,0.500000,0.500000,0.000000,False,True,0.366667,1.000000,0.633333
new_aep_wf_scrap,bge-base-en-v1.5,0.800000,0.900000,0.100000,False,True,0.133333,0.266667,0.133334
new_aep_wf_scrap,bge-large-en-v1.5,0.666667,0.500000,-0.166667,False,False,0.100000,0.566667,0.466667
new_ajo_workflows,deberta-v3-large,0.500000,0.500000,0.000000,False,False,0.333333,0.100000,-0.233333
new_ajo_workflows,all-mpnet-base-v2,0.633333,0.666667,0.033334,False,False,0.233333,0.233333,0.000000
new_ajo_workflows,all-MiniLM-L6-v2,0.733333,0.533333,-0.200000,False,False,0.166667,0.433333,0.266666
new_ajo_workflows,e5-large-v2,0.700000,0.500000,-0.200000,False,True,0.566667,0.966667,0.400000
new_ajo_workflows,bge-base-en-v1.5,0.700000,0.433333,-0.266667,False,False,0.233333,0.333333,0.100000
new_ajo_workflows,bge-large-en-v1.5,0.700000,0.500000,-0.200000,False,False,0.366667,0.066667,-0.300000
