encoder,dataset,sample_id,ground_truth_order,predicted_order,correct
biencoder,aep_causal_cls34,1,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_causal_cls34,2,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_cls34,3,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_causal_cls34,4,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_cls34,5,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_cls34,6,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_cls34,7,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_cls34,8,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_causal_cls34,9,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_cls34,10,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_cls34,11,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_causal_cls34,12,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_cls34,13,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_causal_cls34,14,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,aep_causal_cls34,15,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_cls34,16,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_cls34,17,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_causal_cls34,18,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_causal_cls34,19,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,aep_causal_cls34,20,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_causal_cls34,21,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,aep_causal_cls34,22,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_causal_cls34,23,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_cls34,24,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_cls34,25,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_cls34,26,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_cls34,27,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_causal_cls34,28,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_cls34,29,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_cls34,30,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_dataset,1,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,2,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_dataset,3,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_dataset,4,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,5,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_dataset,6,t1 > t2 > t3,t1 > t2 > t3,True
