encoder,dataset,event,tournament_wins,net_precedence,predicted_rank,true_rank
biencoder,aep_causal_cls34,t1,1,-0.447,5,1
biencoder,aep_causal_cls34,t2,2,-0.4467,4,2
biencoder,aep_causal_cls34,t3,5,2.234,1,3
biencoder,aep_causal_cls34,t4,3,-0.4467,3,4
biencoder,aep_causal_cls34,t5,0,-0.447,6,5
biencoder,aep_causal_cls34,t6,4,-0.4467,2,6
biencoder,aep_dataset,t1,5,0.2257,1,1
biencoder,aep_dataset,t2,4,0.0422,2,2
biencoder,aep_dataset,t3,2,-0.0046,4,3
biencoder,aep_dataset,t4,0,-0.1969,6,4
biencoder,aep_dataset,t5,3,0.0026,3,5
biencoder,aep_dataset,t6,1,-0.0691,5,6
biencoder,aep_causal_wf_v3,t1,2,-2.5112,4,1
biencoder,aep_causal_wf_v3,t2,0,-2.895,6,2
biencoder,aep_causal_wf_v3,t3,4,2.5733,2,3
biencoder,aep_causal_wf_v3,t4,5,4.4239,1,4
biencoder,aep_causal_wf_v3,t5,1,-2.479,5,5
biencoder,aep_causal_wf_v3,t6,3,0.888,3,6
biencoder,ajo_doc_not_tier1,t1,5,0.0,1,1
biencoder,ajo_doc_not_tier1,t2,4,0.0,2,2
biencoder,ajo_doc_not_tier1,t3,3,0.0,3,3
biencoder,ajo_doc_not_tier1,t4,2,0.0,4,4
biencoder,ajo_doc_not_tier1,t5,1,0.0,5,5
biencoder,ajo_doc_not_tier1,t6,0,0.0,6,6
biencoder,ajo_newstyle,t1,5,0.0,1,1
biencoder,ajo_newstyle,t2,4,0.0,2,2
biencoder,ajo_newstyle,t3,3,-0.0,3,3
biencoder,ajo_newstyle,t4,2,-0.0,4,4
biencoder,ajo_newstyle,t5,1,-0.0,5,5
biencoder,ajo_newstyle,t6,0,-0.0,6,6
biencoder,new_aep_wf_scrap,t1,3,0.0029,3,1
biencoder,new_aep_wf_scrap,t2,2,-0.0001,4,2
biencoder,new_aep_wf_scrap,t3,0,-0.0078,6,3
biencoder,new_aep_wf_scrap,t4,1,-0.0036,5,4
biencoder,new_aep_wf_scrap,t5,4,0.0038,2,5
biencoder,new_aep_wf_scrap,t6,5,0.0048,1,6
biencoder,new_ajo_workflows,t1,5,0.0009,1,1
biencoder,new_ajo_workflows,t2,4,0.0009,2,2
biencoder,new_ajo_workflows,t3,0,-0.0012,6,3
biencoder,new_ajo_workflows,t4,2,-0.0002,4,4
biencoder,new_ajo_workflows,t5,1,-0.0006,5,5
biencoder,new_ajo_workflows,t6,3,0.0003,3,6
crossencoder,aep_causal_cls34,t1,0,-4.0357,6,1
crossencoder,aep_causal_cls34,t2,2,-1.065,4,2
crossencoder,aep_causal_cls34,t3,4,3.3822,2,3
crossencoder,aep_causal_cls34,t4,3,1.6878,3,4
crossencoder,aep_causal_cls34,t5,1,-3.8966,5,5
crossencoder,aep_causal_cls34,t6,5,3.9272,1,6
crossencoder,aep_dataset,t1,1,-0.8831,5,1
crossencoder,aep_dataset,t2,4,1.0227,2,2
crossencoder,aep_dataset,t3,3,0.9479,4,3
crossencoder,aep_dataset,t4,0,-4.9086,6,4
crossencoder,aep_dataset,t5,4,1.9726,1,5
crossencoder,aep_dataset,t6,3,1.8485,3,6
crossencoder,aep_causal_wf_v3,t1,4,2.99,2,1
crossencoder,aep_causal_wf_v3,t2,1,-3.8892,5,2
crossencoder,aep_causal_wf_v3,t3,5,3.0726,1,3
crossencoder,aep_causal_wf_v3,t4,2,-0.8889,4,4
crossencoder,aep_causal_wf_v3,t5,0,-4.0446,6,5
crossencoder,aep_causal_wf_v3,t6,3,2.7602,3,6
crossencoder,ajo_doc_not_tier1,t1,5,0.0,1,1
crossencoder,ajo_doc_not_tier1,t2,4,0.0,2,2
crossencoder,ajo_doc_not_tier1,t3,3,0.0,3,3
crossencoder,ajo_doc_not_tier1,t4,2,0.0,4,4
crossencoder,ajo_doc_not_tier1,t5,1,0.0,5,5
crossencoder,ajo_doc_not_tier1,t6,0,0.0,6,6
crossencoder,ajo_newstyle,t1,3,0.0,2,1
crossencoder,ajo_newstyle,t2,2,0.0,4,2
crossencoder,ajo_newstyle,t3,1,-0.0,5,3
crossencoder,ajo_newstyle,t4,5,0.0001,1,4
crossencoder,ajo_newstyle,t5,1,-0.0001,6,5
crossencoder,ajo_newstyle,t6,3,-0.0,3,6
crossencoder,new_aep_wf_scrap,t1,5,0.0005,1,1
crossencoder,new_aep_wf_scrap,t2,0,-0.0005,6,2
crossencoder,new_aep_wf_scrap,t3,4,0.0006,2,3
crossencoder,new_aep_wf_scrap,t4,2,-0.0004,4,4
crossencoder,new_aep_wf_scrap,t5,3,0.0003,3,5
crossencoder,new_aep_wf_scrap,t6,1,-0.0005,5,6
crossencoder,new_ajo_workflows,t1,1,-0.0001,6,1
crossencoder,new_ajo_workflows,t2,2,0.0,4,2
crossencoder,new_ajo_workflows,t3,4,0.0003,1,3
crossencoder,new_ajo_workflows,t4,3,0.0,2,4
crossencoder,new_ajo_workflows,t5,2,-0.0002,5,5
crossencoder,new_ajo_workflows,t6,3,-0.0,3,6
