encoder,dataset,milan_6step_pairs_correct_out_of_30,ajo_30sample_correct_out_of_30,milan_6step_predicted_order
biencoder,aep_causal_cls34,16,5,t3 > t6 > t4 > t2 > t1 > t5
biencoder,aep_dataset,15,19,t1 > t2 > t5 > t3 > t6 > t4
biencoder,aep_causal_wf_v3,10,1,t4 > t3 > t6 > t1 > t5 > t2
biencoder,ajo_doc_not_tier1,15,29,t1 > t2 > t3 > t4 > t5 > t6
biencoder,ajo_newstyle,15,1,t1 > t2 > t3 > t4 > t5 > t6
biencoder,new_aep_wf_scrap,15,1,t6 > t5 > t1 > t2 > t4 > t3
biencoder,new_ajo_workflows,15,10,t1 > t2 > t6 > t4 > t5 > t3
crossencoder,aep_causal_cls34,9,4,t6 > t3 > t4 > t2 > t5 > t1
crossencoder,aep_dataset,14,6,t5 > t2 > t6 > t3 > t1 > t4
crossencoder,aep_causal_wf_v3,16,5,t3 > t1 > t6 > t4 > t2 > t5
crossencoder,ajo_doc_not_tier1,15,16,t1 > t2 > t3 > t4 > t5 > t6
crossencoder,ajo_newstyle,15,11,t4 > t1 > t6 > t2 > t3 > t5
crossencoder,new_aep_wf_scrap,15,15,t1 > t3 > t5 > t4 > t6 > t2
crossencoder,new_ajo_workflows,15,3,t3 > t4 > t6 > t2 > t5 > t1
