encoder,dataset,model,milan_n_pairs_total,milan_n_pairs_correct,milan_pairwise_acc,milan_order_match,ajo_n_samples,ajo_n_correct,ajo_perfect_order_rate,status
biencoder,aep_causal_cls34,deberta-v3-large,30,16,0.533333,False,30,5,0.166667,ok
biencoder,aep_causal_cls34,all-mpnet-base-v2,30,16,0.533333,False,30,8,0.266667,ok
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,30,9,0.300000,False,30,4,0.133333,ok
biencoder,aep_causal_cls34,e5-large-v2,30,13,0.433333,False,30,5,0.166667,ok
biencoder,aep_causal_cls34,bge-base-en-v1.5,30,9,0.300000,False,30,4,0.133333,ok
biencoder,aep_causal_cls34,bge-large-en-v1.5,30,11,0.366667,False,30,4,0.133333,ok
biencoder,aep_dataset,deberta-v3-large,30,15,0.500000,False,30,19,0.633333,ok
biencoder,aep_dataset,all-mpnet-base-v2,30,26,0.866667,False,30,8,0.266667,ok
biencoder,aep_dataset,all-MiniLM-L6-v2,30,18,0.600000,False,30,8,0.266667,ok
biencoder,aep_dataset,e5-large-v2,30,16,0.533333,True,30,9,0.300000,ok
biencoder,aep_dataset,bge-base-en-v1.5,30,14,0.466667,False,30,12,0.400000,ok
biencoder,aep_dataset,bge-large-en-v1.5,30,19,0.633333,False,30,14,0.466667,ok
biencoder,aep_causal_wf_v3,deberta-v3-large,30,10,0.333333,False,30,1,0.033333,ok
biencoder,aep_causal_wf_v3,all-mpnet-base-v2,30,11,0.366667,False,30,0,0.000000,ok
biencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,30,9,0.300000,False,30,1,0.033333,ok
biencoder,aep_causal_wf_v3,e5-large-v2,30,16,0.533333,False,30,4,0.133333,ok
biencoder,aep_causal_wf_v3,bge-base-en-v1.5,30,8,0.266667,False,30,7,0.233333,ok
biencoder,aep_causal_wf_v3,bge-large-en-v1.5,30,15,0.500000,False,30,2,0.066667,ok
biencoder,ajo_doc_not_tier1,deberta-v3-large,30,15,0.500000,True,30,29,0.966667,ok
biencoder,ajo_doc_not_tier1,all-mpnet-base-v2,30,16,0.533333,False,30,18,0.600000,ok
biencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,30,9,0.300000,False,30,9,0.300000,ok
biencoder,ajo_doc_not_tier1,e5-large-v2,30,13,0.433333,False,30,15,0.500000,ok
