encoder,dataset,model,n_events,ground_truth_order,predicted_order,order_match,n_pairs_correct,n_pairs_total,pairwise_acc
biencoder,aep_causal_cls34,deberta-v3-large,6,t1 > t2 > t3 > t4 > t5 > t6,t3 > t6 > t4 > t2 > t1 > t5,False,16,30,0.533333
biencoder,aep_causal_cls34,all-mpnet-base-v2,6,t1 > t2 > t3 > t4 > t5 > t6,t4 > t1 > t3 > t5 > t6 > t2,False,16,30,0.533333
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,6,t1 > t2 > t3 > t4 > t5 > t6,t6 > t4 > t3 > t2 > t1 > t5,False,9,30,0.300000
biencoder,aep_causal_cls34,e5-large-v2,6,t1 > t2 > t3 > t4 > t5 > t6,t4 > t6 > t1 > t5 > t2 > t3,False,13,30,0.433333
biencoder,aep_causal_cls34,bge-base-en-v1.5,6,t1 > t2 > t3 > t4 > t5 > t6,t3 > t6 > t4 > t5 > t2 > t1,False,9,30,0.300000
biencoder,aep_causal_cls34,bge-large-en-v1.5,6,t1 > t2 > t3 > t4 > t5 > t6,t6 > t3 > t4 > t1 > t5 > t2,False,11,30,0.366667
biencoder,aep_dataset,deberta-v3-large,6,t1 > t2 > t3 > t4 > t5 > t6,t1 > t2 > t5 > t3 > t6 > t4,False,15,30,0.500000
biencoder,aep_dataset,all-mpnet-base-v2,6,t1 > t2 > t3 > t4 > t5 > t6,t2 > t1 > t3 > t5 > t4 > t6,False,26,30,0.866667
biencoder,aep_dataset,all-MiniLM-L6-v2,6,t1 > t2 > t3 > t4 > t5 > t6,t2 > t3 > t5 > t4 > t1 > t6,False,18,30,0.600000
biencoder,aep_dataset,e5-large-v2,6,t1 > t2 > t3 > t4 > t5 > t6,t1 > t2 > t3 > t4 > t5 > t6,True,16,30,0.533333
biencoder,aep_dataset,bge-base-en-v1.5,6,t1 > t2 > t3 > t4 > t5 > t6,t5 > t2 > t3 > t4 > t1 > t6,False,14,30,0.466667
