encoder,dataset,model,event,tournament_wins,net_precedence,predicted_rank,true_rank
biencoder,aep_causal_cls34,deberta-v3-large,t1,1,-0.447,5,1
biencoder,aep_causal_cls34,deberta-v3-large,t2,2,-0.4467,4,2
biencoder,aep_causal_cls34,deberta-v3-large,t3,5,2.234,1,3
biencoder,aep_causal_cls34,deberta-v3-large,t4,3,-0.4467,3,4
biencoder,aep_causal_cls34,deberta-v3-large,t5,0,-0.447,6,5
biencoder,aep_causal_cls34,deberta-v3-large,t6,4,-0.4467,2,6
biencoder,aep_causal_cls34,all-mpnet-base-v2,t1,4,2.3864,2,1
biencoder,aep_causal_cls34,all-mpnet-base-v2,t2,0,-3.6461,6,2
biencoder,aep_causal_cls34,all-mpnet-base-v2,t3,3,0.8945,3,3
biencoder,aep_causal_cls34,all-mpnet-base-v2,t4,5,1.0646,1,4
biencoder,aep_causal_cls34,all-mpnet-base-v2,t5,2,-0.0226,4,5
biencoder,aep_causal_cls34,all-mpnet-base-v2,t6,1,-0.6767,5,6
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,t1,1,-3.0038,5,1
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,t2,2,-0.8166,4,2
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,t3,3,1.7023,3,3
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,t4,4,2.1216,2,4
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,t5,0,-4.9957,6,5
biencoder,aep_causal_cls34,all-MiniLM-L6-v2,t6,5,4.9923,1,6
biencoder,aep_causal_cls34,e5-large-v2,t1,3,2.0009,3,1
biencoder,aep_causal_cls34,e5-large-v2,t2,1,-3.0114,5,2
biencoder,aep_causal_cls34,e5-large-v2,t3,0,-2.1071,6,3
biencoder,aep_causal_cls34,e5-large-v2,t4,5,2.0,1,4
biencoder,aep_causal_cls34,e5-large-v2,t5,2,-0.8865,4,5
biencoder,aep_causal_cls34,e5-large-v2,t6,4,2.004,2,6
biencoder,aep_causal_cls34,bge-base-en-v1.5,t1,0,-4.6089,6,1
biencoder,aep_causal_cls34,bge-base-en-v1.5,t2,1,-2.551,5,2
biencoder,aep_causal_cls34,bge-base-en-v1.5,t3,5,4.981,1,3
biencoder,aep_causal_cls34,bge-base-en-v1.5,t4,3,1.8735,3,4
biencoder,aep_causal_cls34,bge-base-en-v1.5,t5,2,-1.7658,4,5
biencoder,aep_causal_cls34,bge-base-en-v1.5,t6,4,2.0712,2,6
biencoder,aep_causal_cls34,bge-large-en-v1.5,t1,2,0.8941,4,1
biencoder,aep_causal_cls34,bge-large-en-v1.5,t2,0,-4.9982,6,2
biencoder,aep_causal_cls34,bge-large-en-v1.5,t3,4,1.1088,2,3
biencoder,aep_causal_cls34,bge-large-en-v1.5,t4,3,1.0906,3,4
biencoder,aep_causal_cls34,bge-large-en-v1.5,t5,1,-2.0017,5,5
biencoder,aep_causal_cls34,bge-large-en-v1.5,t6,5,3.9063,1,6
biencoder,aep_dataset,deberta-v3-large,t1,5,0.2257,1,1
biencoder,aep_dataset,deberta-v3-large,t2,4,0.0422,2,2
biencoder,aep_dataset,deberta-v3-large,t3,2,-0.0046,4,3
biencoder,aep_dataset,deberta-v3-large,t4,0,-0.1969,6,4
biencoder,aep_dataset,deberta-v3-large,t5,3,0.0026,3,5
biencoder,aep_dataset,deberta-v3-large,t6,1,-0.0691,5,6
biencoder,aep_dataset,all-mpnet-base-v2,t1,4,2.8116,2,1
