encoder,dataset,model,tier_pair,n,acc
biencoder,aep_causal_cls34,deberta-v3-large,T1-T2,2,1.000000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T3,10,0.700000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T4,8,0.375000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T5,20,0.100000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T6,64,0.375000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T7,6,0.666667
biencoder,aep_causal_cls34,deberta-v3-large,T1-T8,36,0.666667
biencoder,aep_causal_cls34,deberta-v3-large,T1-T9,12,0.750000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T10,4,0.250000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T11,24,0.583333
biencoder,aep_causal_cls34,deberta-v3-large,T1-T12,8,0.625000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T13,8,0.375000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T14,2,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T1-T15,28,0.642857
biencoder,aep_causal_cls34,deberta-v3-large,T2-T3,5,0.200000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T4,4,0.250000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T5,10,0.000000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T6,32,0.125000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T7,3,0.000000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T8,18,0.277778
biencoder,aep_causal_cls34,deberta-v3-large,T2-T9,6,0.166667
biencoder,aep_causal_cls34,deberta-v3-large,T2-T10,2,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T11,12,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T12,4,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T13,4,0.750000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T14,1,1.000000
biencoder,aep_causal_cls34,deberta-v3-large,T2-T15,14,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T4,20,0.250000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T5,50,0.080000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T6,160,0.225000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T7,15,0.466667
biencoder,aep_causal_cls34,deberta-v3-large,T3-T8,90,0.444444
biencoder,aep_causal_cls34,deberta-v3-large,T3-T9,30,0.466667
biencoder,aep_causal_cls34,deberta-v3-large,T3-T10,10,0.300000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T11,60,0.366667
biencoder,aep_causal_cls34,deberta-v3-large,T3-T12,20,0.750000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T13,20,0.550000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T14,5,0.600000
biencoder,aep_causal_cls34,deberta-v3-large,T3-T15,70,0.485714
biencoder,aep_causal_cls34,deberta-v3-large,T4-T5,40,0.275000
biencoder,aep_causal_cls34,deberta-v3-large,T4-T6,128,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T4-T7,12,0.583333
biencoder,aep_causal_cls34,deberta-v3-large,T4-T8,72,0.652778
biencoder,aep_causal_cls34,deberta-v3-large,T4-T9,24,0.750000
biencoder,aep_causal_cls34,deberta-v3-large,T4-T10,8,0.750000
biencoder,aep_causal_cls34,deberta-v3-large,T4-T11,48,0.625000
biencoder,aep_causal_cls34,deberta-v3-large,T4-T12,16,0.875000
biencoder,aep_causal_cls34,deberta-v3-large,T4-T13,16,0.687500
biencoder,aep_causal_cls34,deberta-v3-large,T4-T14,4,1.000000
biencoder,aep_causal_cls34,deberta-v3-large,T4-T15,56,0.696429
biencoder,aep_causal_cls34,deberta-v3-large,T5-T6,320,0.696875
biencoder,aep_causal_cls34,deberta-v3-large,T5-T7,30,0.766667
biencoder,aep_causal_cls34,deberta-v3-large,T5-T8,180,0.827778
biencoder,aep_causal_cls34,deberta-v3-large,T5-T9,60,0.883333
biencoder,aep_causal_cls34,deberta-v3-large,T5-T10,20,0.550000
biencoder,aep_causal_cls34,deberta-v3-large,T5-T11,120,0.841667
biencoder,aep_causal_cls34,deberta-v3-large,T5-T12,40,1.000000
biencoder,aep_causal_cls34,deberta-v3-large,T5-T13,40,0.850000
biencoder,aep_causal_cls34,deberta-v3-large,T5-T14,10,1.000000
biencoder,aep_causal_cls34,deberta-v3-large,T5-T15,140,0.814286
biencoder,aep_causal_cls34,deberta-v3-large,T6-T7,96,0.625000
biencoder,aep_causal_cls34,deberta-v3-large,T6-T8,576,0.703125
biencoder,aep_causal_cls34,deberta-v3-large,T6-T9,192,0.791667
biencoder,aep_causal_cls34,deberta-v3-large,T6-T10,64,0.562500
biencoder,aep_causal_cls34,deberta-v3-large,T6-T11,384,0.739583
biencoder,aep_causal_cls34,deberta-v3-large,T6-T12,128,0.867188
biencoder,aep_causal_cls34,deberta-v3-large,T6-T13,128,0.718750
biencoder,aep_causal_cls34,deberta-v3-large,T6-T14,32,0.906250
biencoder,aep_causal_cls34,deberta-v3-large,T6-T15,448,0.729911
biencoder,aep_causal_cls34,deberta-v3-large,T7-T8,54,0.462963
biencoder,aep_causal_cls34,deberta-v3-large,T7-T9,18,0.611111
biencoder,aep_causal_cls34,deberta-v3-large,T7-T10,6,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T7-T11,36,0.555556
biencoder,aep_causal_cls34,deberta-v3-large,T7-T12,12,0.666667
biencoder,aep_causal_cls34,deberta-v3-large,T7-T13,12,0.416667
biencoder,aep_causal_cls34,deberta-v3-large,T7-T14,3,1.000000
biencoder,aep_causal_cls34,deberta-v3-large,T7-T15,42,0.547619
biencoder,aep_causal_cls34,deberta-v3-large,T8-T9,108,0.509259
biencoder,aep_causal_cls34,deberta-v3-large,T8-T10,36,0.416667
biencoder,aep_causal_cls34,deberta-v3-large,T8-T11,216,0.597222
biencoder,aep_causal_cls34,deberta-v3-large,T8-T12,72,0.694444
biencoder,aep_causal_cls34,deberta-v3-large,T8-T13,72,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T8-T14,18,0.777778
biencoder,aep_causal_cls34,deberta-v3-large,T8-T15,252,0.496032
biencoder,aep_causal_cls34,deberta-v3-large,T9-T10,12,0.166667
biencoder,aep_causal_cls34,deberta-v3-large,T9-T11,72,0.472222
biencoder,aep_causal_cls34,deberta-v3-large,T9-T12,24,0.541667
biencoder,aep_causal_cls34,deberta-v3-large,T9-T13,24,0.416667
biencoder,aep_causal_cls34,deberta-v3-large,T9-T14,6,0.333333
biencoder,aep_causal_cls34,deberta-v3-large,T9-T15,84,0.416667
biencoder,aep_causal_cls34,deberta-v3-large,T10-T11,24,0.666667
biencoder,aep_causal_cls34,deberta-v3-large,T10-T12,8,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T10-T13,8,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T10-T14,2,1.000000
biencoder,aep_causal_cls34,deberta-v3-large,T10-T15,28,0.642857
biencoder,aep_causal_cls34,deberta-v3-large,T11-T12,48,0.625000
biencoder,aep_causal_cls34,deberta-v3-large,T11-T13,48,0.541667
biencoder,aep_causal_cls34,deberta-v3-large,T11-T14,12,0.750000
biencoder,aep_causal_cls34,deberta-v3-large,T11-T15,168,0.464286
biencoder,aep_causal_cls34,deberta-v3-large,T12-T13,16,0.500000
biencoder,aep_causal_cls34,deberta-v3-large,T12-T14,4,0.000000
biencoder,aep_causal_cls34,deberta-v3-large,T12-T15,56,0.339286
biencoder,aep_causal_cls34,deberta-v3-large,T13-T14,4,0.750000
biencoder,aep_causal_cls34,deberta-v3-large,T13-T15,56,0.482143
biencoder,aep_causal_cls34,deberta-v3-large,T14-T15,14,0.571429
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T2,2,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T3,10,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T4,8,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T5,20,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T6,64,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T7,6,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T8,36,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T9,12,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T10,4,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T11,24,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T12,8,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T13,8,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T14,2,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T1-T15,28,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T3,5,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T4,4,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T5,10,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T6,32,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T7,3,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T8,18,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T9,6,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T10,2,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T11,12,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T12,4,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T13,4,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T14,1,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T2-T15,14,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T4,20,0.900000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T5,50,0.860000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T6,160,0.881250
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T7,15,0.800000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T8,90,0.911111
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T9,30,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T10,10,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T11,60,0.950000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T12,20,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T13,20,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T14,5,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T3-T15,70,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T5,40,0.425000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T6,128,0.515625
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T7,12,0.750000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T8,72,0.750000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T9,24,0.875000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T10,8,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T11,48,0.750000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T12,16,0.937500
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T13,16,0.687500
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T14,4,0.750000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T4-T15,56,0.875000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T5-T6,320,0.821875
biencoder,aep_causal_cls34,all-mpnet-base-v2,T5-T7,30,1.000000
biencoder,aep_causal_cls34,all-mpnet-base-v2,T5-T8,180,0.944444
