model,model_type,n_params,max_len,hit@1,hit@3,hit@5,recall@1,recall@3,recall@5,n_eval
output,gpt_neox,405334016,1024,0.16887417218543047,0.4205298013245033,0.6357615894039735,0.11961920529801322,0.33940397350993373,0.5549116997792495,302
output/checkpoint-100,gpt_neox,405334016,1024,0.16887417218543047,0.4205298013245033,0.6357615894039735,0.11961920529801322,0.33940397350993373,0.5549116997792495,302
output_40ep,gpt_neox,405334016,1024,0.17880794701986755,0.4304635761589404,0.6192052980132451,0.1295529801324503,0.3493377483443708,0.5361479028697572,302
output_40ep/checkpoint-200,gpt_neox,405334016,1024,0.17880794701986755,0.4304635761589404,0.6192052980132451,0.1295529801324503,0.3493377483443708,0.5361479028697572,302
output_gpt2,gpt2,354823168,1024,0.1456953642384106,0.40728476821192056,0.5761589403973509,0.1025110375275938,0.3228476821192053,0.496412803532009,302
output_gpt2/checkpoint-200,gpt2,354823168,1024,0.1456953642384106,0.40728476821192056,0.5761589403973509,0.1025110375275938,0.3228476821192053,0.496412803532009,302
output_gpt2_smooth,gpt2,354823168,1024,0.152317880794702,0.40397350993377484,0.5695364238410596,0.10968543046357616,0.31512141280353195,0.49448123620309065,302
output_gpt2_smooth/checkpoint-320,gpt2,354823168,1024,0.15562913907284767,0.39403973509933776,0.5761589403973509,0.11465231788079468,0.31456953642384106,0.5,302
output_gpt2_smooth/checkpoint-640,gpt2,354823168,1024,0.1490066225165563,0.40397350993377484,0.5761589403973509,0.10802980132450331,0.32339955849889623,0.4966887417218543,302
output_gpt2_smooth/checkpoint-680,gpt2,354823168,1024,0.152317880794702,0.40397350993377484,0.5695364238410596,0.10968543046357616,0.31512141280353195,0.49448123620309065,302
output_gpt2_stable,gpt2,354823168,1024,0.1490066225165563,0.3841059602649007,0.5761589403973509,0.10802980132450331,0.304083885209713,0.5019315673289184,302
output_gpt2_stable/checkpoint-180,gpt2,354823168,1024,0.1490066225165563,0.3841059602649007,0.5761589403973509,0.10802980132450331,0.304083885209713,0.5019315673289184,302
